num_train,deg,trial,seed,h,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,44,1187,0.01,lasso,1000,8.457693,0.009487,0.010518,0.000511,8457.692731,8457.779874,8456.890412,8458.488032,8457.736630
100,1,44,1187,0.01,spo,1000,8.479033,0.261826,0.256758,0.246727,8479.032778,8478.604140,8456.890412,8458.488032,8457.736630
100,1,45,1188,0.01,gbm,1000,8.425151,0.600198,0.595003,0.594472,8425.150587,8424.715529,8374.884713,8375.621932,8374.928929
100,1,45,1188,0.01,lasso,1000,8.376079,0.014258,0.008180,0.007652,8376.078803,8375.569805,8374.884713,8375.621932,8374.928929
100,1,45,1188,0.01,spo,1000,8.408603,0.402618,0.393293,0.392763,8408.603494,8407.822567,8374.884713,8375.621932,8374.928929
100,1,46,1189,0.01,gbm,1000,8.494705,0.639193,0.633827,0.630362,8494.705149,8494.252249,8440.752474,8441.740598,8441.043162
100,1,46,1189,0.01,lasso,1000,8.441568,0.009659,0.003902,0.000458,8441.567733,8441.081855,8440.752474,8441.740598,8441.043162
100,1,46,1189,0.01,spo,1000,8.462526,0.257960,0.255838,0.252385,8462.526200,8462.347113,8440.752474,8441.740598,8441.043162
100,1,47,1190,0.01,gbm,1000,8.518773,0.568653,0.567949,0.563850,8518.772849,8518.713196,8470.604473,8471.640366,8470.949734
100,1,47,1190,0.01,lasso,1000,8.471489,0.010441,0.004728,0.000652,8471.488894,8471.004974,8470.604473,8471.640366,8470.949734
100,1,47,1190,0.01,spo,1000,8.496132,0.301365,0.295355,0.291267,8496.131940,8495.622789,8470.604473,8471.640366,8470.949734
100,1,48,1191,0.01,gbm,1000,8.538630,0.491980,0.490181,0.482737,8538.629526,8538.476699,8496.826875,8498.192317,8497.456351
100,1,48,1191,0.01,lasso,1000,8.497615,0.009272,0.007829,0.000421,8497.614710,8497.492120,8496.826875,8498.192317,8497.456351
100,1,48,1191,0.01,spo,1000,8.519830,0.270726,0.266277,0.258849,8519.829990,8519.451930,8496.826875,8498.192317,8497.456351
100,1,49,1192,0.01,gbm,1000,8.515920,0.754607,0.748067,0.739368,8515.919785,8515.367061,8452.139383,8453.901287,8452.869245
100,1,49,1192,0.01,lasso,1000,8.453251,0.013155,0.009398,0.000763,8453.251275,8452.933731,8452.139383,8453.901287,8452.869245
100,1,49,1192,0.01,spo,1000,8.479897,0.328411,0.326485,0.317822,8479.897144,8479.734345,8452.139383,8453.901287,8452.869245
100,2,0,2143,0.01,gbm,1000,5.706280,1.608130,1.610380,1.602248,5706.279653,5706.406022,5615.967584,5616.651607,5616.417096
100,2,0,2143,0.01,lasso,1000,5.621779,0.103473,0.110140,0.102127,5621.778605,5622.152999,5615.967584,5616.651607,5616.417096
100,2,0,2143,0.01,spo,1000,5.666251,0.895356,0.894474,0.886399,5666.250502,5666.200950,5615.967584,5616.651607,5616.417096
100,2,1,2144,0.01,gbm,1000,5.782313,1.552186,1.548258,1.550770,5782.312939,5782.089295,5693.932506,5693.973595,5693.791662
100,2,1,2144,0.01,lasso,1000,5.705123,0.196538,0.190200,0.192678,5705.123269,5704.762361,5693.932506,5693.973595,5693.791662
100,2,1,2144,0.01,spo,1000,5.739761,0.804857,0.801484,0.803978,5739.760504,5739.568473,5693.932506,5693.973595,5693.791662
100,2,2,2145,0.01,gbm,1000,5.711824,1.647509,1.654962,1.637452,5711.824158,5712.242960,5619.246546,5620.507188,5620.214618
100,2,2,2145,0.01,lasso,1000,5.631912,0.225403,0.238018,0.220752,5631.912492,5632.621337,5619.246546,5620.507188,5620.214618
100,2,2,2145,0.01,spo,1000,5.646815,0.490612,0.499262,0.481951,5646.815222,5647.301327,5619.246546,5620.507188,5620.214618
100,2,3,2146,0.01,gbm,1000,5.611149,1.585814,1.571243,1.575291,5611.148814,5610.343949,5523.555489,5523.569513,5523.335328
100,2,3,2146,0.01,lasso,1000,5.528805,0.095036,0.090212,0.094202,5528.804857,5528.538410,5523.555489,5523.569513,5523.335328
100,2,3,2146,0.01,spo,1000,5.556385,0.594347,0.589153,0.593162,5556.384561,5556.097664,5523.555489,5523.569513,5523.335328
100,2,4,2147,0.01,gbm,1000,5.767880,1.398884,1.393474,1.392498,5767.879803,5767.572076,5688.307010,5688.607892,5688.361727
100,2,4,2147,0.01,lasso,1000,5.697159,0.155616,0.154619,0.153656,5697.158908,5697.102213,5688.307010,5688.607892,5688.361727
100,2,4,2147,0.01,spo,1000,5.719807,0.553770,0.558542,0.557574,5719.807129,5720.078568,5688.307010,5688.607892,5688.361727
100,2,5,2148,0.01,gbm,1000,5.864360,1.768805,1.776348,1.767408,5864.359775,5864.794403,5762.433535,5763.165822,5762.939754
100,2,5,2148,0.01,lasso,1000,5.776135,0.237778,0.239870,0.231065,5776.135360,5776.255873,5762.433535,5763.165822,5762.939754
100,2,5,2148,0.01,spo,1000,5.801513,0.678181,0.682606,0.673762,5801.513246,5801.768256,5762.433535,5763.165822,5762.939754
100,2,6,2149,0.01,gbm,1000,5.811908,1.421726,1.423171,1.416568,5811.907588,5811.990354,5730.436462,5731.118477,5730.809542
100,2,6,2149,0.01,lasso,1000,5.740779,0.180476,0.183010,0.176488,5740.778527,5740.923744,5730.436462,5731.118477,5730.809542
100,2,6,2149,0.01,spo,1000,5.758740,0.493921,0.491932,0.485390,5758.740317,5758.626299,5730.436462,5731.118477,5730.809542
100,2,7,2150,0.01,gbm,1000,5.792910,1.441433,1.431840,1.437172,5792.910484,5792.362657,5710.596087,5710.551663,5710.295906
100,2,7,2150,0.01,lasso,1000,5.714265,0.064244,0.055572,0.060831,5714.264780,5713.769562,5710.596087,5710.551663,5710.295906
100,2,7,2150,0.01,spo,1000,5.760724,0.877803,0.867337,0.872640,5760.723847,5760.126212,5710.596087,5710.551663,5710.295906
100,2,8,2151,0.01,gbm,1000,5.710800,1.322689,1.328651,1.320824,5710.799653,5711.135680,5636.249595,5636.925634,5636.684993
100,2,8,2151,0.01,lasso,1000,5.644108,0.139422,0.146898,0.139163,5644.107767,5644.529145,5636.249595,5636.925634,5636.684993
100,2,8,2151,0.01,spo,1000,5.676533,0.714726,0.718707,0.710927,5676.533346,5676.757721,5636.249595,5636.925634,5636.684993
100,2,9,2152,0.01,gbm,1000,5.651673,1.677777,1.681307,1.668094,5651.672716,5651.868936,5558.414920,5559.404263,5559.137305
100,2,9,2152,0.01,lasso,1000,5.564782,0.114552,0.124966,0.111955,5564.782218,5565.361052,5558.414920,5559.404263,5559.137305
100,2,9,2152,0.01,spo,1000,5.600891,0.764183,0.774548,0.761453,5600.891370,5601.467502,5558.414920,5559.404263,5559.137305
100,2,10,2153,0.01,gbm,1000,5.620463,1.363328,1.356387,1.359415,5620.462642,5620.077765,5544.867925,5544.884907,5544.702245
