num_train,deg,trial,seed,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,46,1189,lasso,1000,8.503261,16.080874,16.033577,0.696047,8503.261421,8499.796786,7325.290664,8881.759574,8441.043162
100,1,46,1189,spo,1000,8.693726,18.680964,18.319061,2.679431,8693.725607,8667.215099,7325.290664,8881.759574,8441.043162
100,1,47,1190,gbm,1000,8.766498,19.522677,19.671343,3.617688,8766.498152,8777.402244,7334.589889,8893.058484,8470.949734
100,1,47,1190,lasso,1000,8.596168,17.200384,16.573003,0.934983,8596.167504,8550.151669,7334.589889,8893.058484,8470.949734
100,1,47,1190,spo,1000,8.675648,18.284023,17.800864,1.998129,8675.648022,8640.210251,7334.589889,8893.058484,8470.949734
100,1,48,1191,gbm,1000,8.700125,18.615302,18.591521,2.364521,8700.124789,8698.380505,7334.740670,8931.912333,8497.456351
100,1,48,1191,lasso,1000,8.597753,17.219592,16.945801,0.943987,8597.753078,8577.671240,7334.740670,8931.912333,8497.456351
100,1,48,1191,spo,1000,8.707615,18.717421,18.661925,2.425292,8707.614962,8703.544501,7334.740670,8931.912333,8497.456351
100,1,49,1192,gbm,1000,8.744225,19.454164,19.058540,3.104220,8744.225201,8715.264888,7320.150997,8887.156710,8452.869245
100,1,49,1192,lasso,1000,8.561384,16.956391,16.906383,1.240460,8561.384410,8557.723730,7320.150997,8887.156710,8452.869245
100,1,49,1192,spo,1000,8.636759,17.986080,17.960616,2.153422,8636.759194,8634.895206,7320.150997,8887.156710,8452.869245
100,2,0,2143,gbm,1000,5.801627,13.409938,13.534671,3.411259,5801.626773,5808.007603,5115.624658,5993.788446,5616.417096
100,2,0,2143,lasso,1000,5.656682,10.576567,10.712202,0.840458,5656.682113,5663.620715,5115.624658,5993.788446,5616.417096
100,2,0,2143,spo,1000,5.724717,11.906508,11.894943,1.917738,5724.716891,5724.125275,5115.624658,5993.788446,5616.417096
100,2,1,2144,gbm,1000,5.901785,14.002960,13.494963,3.191100,5901.784604,5875.486222,5176.869604,6067.905008,5693.791662
100,2,1,2144,lasso,1000,5.750310,11.076962,10.584256,0.544647,5750.309506,5724.802745,5176.869604,6067.905008,5693.791662
100,2,1,2144,spo,1000,5.827087,12.560046,12.025999,1.855499,5827.086785,5799.439892,5176.869604,6067.905008,5693.791662
100,2,2,2145,gbm,1000,5.828093,15.035937,15.547665,4.160059,5828.093074,5854.018872,5066.323837,5993.195403,5620.214618
100,2,2,2145,lasso,1000,5.644627,11.414648,12.066877,1.022315,5644.626886,5677.670902,5066.323837,5993.195403,5620.214618
100,2,2,2145,spo,1000,5.758171,13.655792,14.225393,2.968102,5758.170502,5787.028320,5066.323837,5993.195403,5620.214618
100,2,3,2146,gbm,1000,5.780130,13.850236,13.428067,4.261219,5780.130070,5758.696739,5076.959237,5909.111954,5523.335328
100,2,3,2146,lasso,1000,5.576912,9.847490,9.457274,0.611330,5576.912299,5557.101158,5076.959237,5909.111954,5523.335328
100,2,3,2146,spo,1000,5.580770,9.923477,10.152032,1.249941,5580.770103,5592.373748,5076.959237,5909.111954,5523.335328
100,2,4,2147,gbm,1000,6.026120,17.021985,17.117514,6.024184,6026.119790,6031.039100,5149.562100,6094.687378,5688.361727
100,2,4,2147,lasso,1000,5.730393,11.279231,11.348101,0.801248,5730.393081,5733.939616,5149.562100,6094.687378,5688.361727
100,2,4,2147,spo,1000,5.878419,14.153766,14.130970,3.320524,5878.419083,5877.245161,5149.562100,6094.687378,5688.361727
100,2,5,2148,gbm,1000,5.962050,14.804008,14.938601,3.576306,5962.050351,5969.040101,5193.242358,6147.093904,5762.939754
100,2,5,2148,lasso,1000,5.806305,11.805013,12.158147,1.070715,5806.305315,5824.644402,5193.242358,6147.093904,5762.939754
100,2,5,2148,spo,1000,5.865833,12.951257,12.978206,1.809706,5865.832526,5867.232037,5193.242358,6147.093904,5762.939754
100,2,6,2149,gbm,1000,5.936994,14.506835,14.421685,3.520782,5936.993726,5932.578836,5184.837863,6089.203053,5730.809542
100,2,6,2149,lasso,1000,5.799887,11.862456,11.895247,1.235037,5799.886982,5801.587159,5184.837863,6089.203053,5730.809542
100,2,6,2149,spo,1000,5.891621,13.631736,13.580391,2.759638,5891.621291,5888.959129,5184.837863,6089.203053,5730.809542
100,2,7,2150,gbm,1000,6.126527,17.760639,17.323623,6.890973,6126.526727,6103.790846,5202.525031,6107.896824,5710.295906
100,2,7,2150,lasso,1000,5.742983,10.388369,10.354989,0.542004,5742.982527,5741.245916,5202.525031,6107.896824,5710.295906
100,2,7,2150,spo,1000,5.852078,12.485345,12.361940,2.370493,5852.078240,5845.658046,5202.525031,6107.896824,5710.295906
100,2,8,2151,gbm,1000,5.869332,14.386173,14.660344,4.376951,5869.331768,5883.399918,5131.154937,6035.832030,5636.684993
100,2,8,2151,lasso,1000,5.684316,10.780434,10.890315,0.945039,5684.315698,5689.953871,5131.154937,6035.832030,5636.684993
100,2,8,2151,spo,1000,5.766207,12.376396,12.166185,2.106481,5766.206989,5755.420718,5131.154937,6035.832030,5636.684993
100,2,9,2152,gbm,1000,5.717971,13.087738,13.295090,3.045761,5717.971177,5728.455363,5056.225623,5930.408344,5559.137305
100,2,9,2152,lasso,1000,5.588783,10.532706,10.663382,0.652133,5588.782985,5595.390268,5056.225623,5930.408344,5559.137305
100,2,9,2152,spo,1000,5.627187,11.292237,11.554470,1.462608,5627.186623,5640.445694,5056.225623,5930.408344,5559.137305
100,2,10,2153,gbm,1000,5.783487,14.230194,13.814931,3.927357,5783.487374,5762.462523,5063.011064,5933.008535,5544.702245
100,2,10,2153,lasso,1000,5.601304,10.631877,10.763111,1.140662,5601.304163,5607.948558,5063.011064,5933.008535,5544.702245
100,2,10,2153,spo,1000,5.698130,12.544294,12.146213,2.403608,5698.130036,5677.975165,5063.011064,5933.008535,5544.702245
100,2,11,2154,gbm,1000,5.934857,14.271534,14.346378,3.904013,5934.856668,5938.743783,5193.643988,6125.979347,5715.605807
100,2,11,2154,lasso,1000,5.785948,11.404401,11.079474,0.935449,5785.947995,5769.072404,5193.643988,6125.979347,5715.605807
100,2,11,2154,spo,1000,5.863992,12.907077,12.658159,2.369965,5863.991640,5851.063689,5193.643988,6125.979347,5715.605807
100,2,12,2155,gbm,1000,5.916138,14.534793,14.373572,4.082800,5916.138285,5907.810620,5165.363387,6046.214189,5676.068096
